sample,batch,group,benchmark
P1_PP_1024_0108_1,1,0,0
P1_PP_1024_0108_2,1,0,0
P2_S_0064_0108_0,1,0,0
P2_S_0064_0108_1,1,0,0
P2_S_0064_0108_2,1,0,0
P1_13C_0032_0108_0,1,0,0
P1_13C_0032_0108_1,1,0,0
P1_13C_0032_0108_2,1,0,0
P1_AAFAPP_0064_0108_0,1,0,0
P1_AAFAPP_0064_0108_1,1,0,0
P1_AAFAPP_0064_0108_2,1,0,0
P1_AAFAPP_0004_0108_0,1,0,0
P1_AAFAPP_0004_0108_1,1,0,0
P1_AAFAPP_0004_0108_2,1,0,0
P2_S_0032_0108_0,1,0,0
P2_S_0032_0108_1,1,0,0
P2_S_0032_0108_2,1,0,0
P1_PP_0002_0108_0,1,0,0
P1_PP_0002_0108_1,1,0,0
P1_PP_0002_0108_2,1,0,0
P1_FA_2048_0108_0,1,0,0
P1_FA_2048_0108_1,1,0,0
P1_FA_2048_0108_2,1,0,0
P1_AAFAPP_0001_0108_0,1,0,0
P1_AAFAPP_0001_0108_1,1,0,0
P1_AAFAPP_0001_0108_2,1,0,0
P1_AA_1024_0108_0,1,0,0
P1_AA_1024_0108_1,1,0,0
P1_AA_1024_0108_2,1,0,0
P2_S_2048_0108_0,1,0,0
P2_S_2048_0108_1,1,0,0
P2_S_2048_0108_2,1,0,0
P2_AAFAPP_0002_0108_0,1,0,0
P2_AAFAPP_0002_0108_1,1,0,0
P2_AAFAPP_0002_0108_2,1,0,0
P2_S_AA_0032_0108_0,1,0,0
P2_S_AA_0032_0108_1,1,0,0
P2_S_AA_0032_0108_2,1,0,0
P1_AA_0512_0108_0,1,0,0
P1_AA_0512_0108_1,1,0,0
P1_AA_0512_0108_2,1,0,0
P2_S_AAFAPP_0004_0108_0,1,0,0
P2_S_AAFAPP_0004_0108_1,1,0,0
P2_S_AAFAPP_0004_0108_2,1,0,0
P1_AAFAPP_0002_0108_0,1,0,0
P1_AAFAPP_0002_0108_1,1,0,0
P1_AAFAPP_0002_0108_2,1,0,0
P1_FA_0016_0108_0,1,0,0
P1_FA_0016_0108_1,1,0,0
P1_FA_0016_0108_2,1,0,0
P1_FA_0128_0108_0,1,0,0
P1_FA_0128_0108_1,1,0,0
P1_FA_0128_0108_2,1,0,0
P2_S_13C_0004_0108_0,1,0,0
P2_S_13C_0004_0108_1,1,0,0
P2_S_13C_0004_0108_2,1,0,0
P1_PP_0016_0108_0,1,0,0
P1_PP_0016_0108_1,1,0,0
P1_PP_0016_0108_2,1,0,0
P1_AAFAPP_0128_0108_0,1,0,0
P1_AAFAPP_0128_0108_1,1,0,0
P1_AAFAPP_0128_0108_2,1,0,0
P1_FA_0064_0108_0,1,0,0
P1_FA_0064_0108_1,1,0,0
P1_FA_0064_0108_2,1,0,0
P1_S_0256_0108_0,1,0,0
P1_S_0256_0108_1,1,0,0
P1_S_0256_0108_2,1,0,0
P2_S_AAFAPP_0128_0108_0,1,0,0
P2_S_AAFAPP_0128_0108_1,1,0,0
P2_S_AAFAPP_0128_0108_2,1,0,0
P2_AAFAPP_0256_0108_0,1,0,0
P2_AAFAPP_0256_0108_1,1,0,0
P2_AAFAPP_0256_0108_2,1,0,0
P2_S_FA_0032_0108_0,1,0,0
P2_S_FA_0032_0108_1,1,0,0
P2_S_FA_0032_0108_2,1,0,0
P2_S_PP_0001_0108_0,1,0,0
P2_S_PP_0001_0108_1,1,0,0
P2_S_PP_0001_0108_2,1,0,0
P1_13C_0256_0108_0,1,0,0
P1_13C_0256_0108_1,1,0,0
P1_13C_0256_0108_2,1,0,0
P1_S_0002_0108_0,1,0,0
P1_S_0002_0108_1,1,0,0
P1_S_0002_0108_2,1,0,0
P2_AAFAPP_2048_0108_0,1,0,0
P2_AAFAPP_2048_0108_1,1,0,0
P2_AAFAPP_2048_0108_2,1,0,0
P2_S_AAFAPP_0064_0108_0,1,0,0
P2_S_AAFAPP_0064_0108_1,1,0,0
P2_S_AAFAPP_0064_0108_2,1,0,0
P1_PP_0064_0108_0,1,0,0
